epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.693,1.63168,2.56184,1.52421,0.87433,0.0211,0.22305,0.10737,1.93235,3.2305,1.66849,0.000655367,0.000655367,0.000655367
2,661.642,1.50906,1.96169,1.39394,0.55253,0.46061,0.45468,0.24831,1.50107,2.27519,1.45835,0.000667627,0.000667627,0.000667627
